,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text
3393,positive,1.0,None,0.0,United,NoviceFlyer,0,united great way start vacation time departure looking forward global first class suite
3394,neutral,1.0,None,0.0,United,danteusa1,0,united 2d 3d embossed badge patch superior one currently using httptco3fq3xelbon
3395,negative,1.0,Late Flight,0.6854,United,Brennej,0,united sitting plane hour scheduled takeoff without cloud sky keepusguessing isthisyourfirsttry
3396,positive,0.6632,None,0.0,United,canmoregolfer,0,united thank responding promptly look forward 240 km drive office file claim
3397,positive,0.6544,None,0.0,United,BTMarleyCoffee,0,united would great
3398,neutral,0.6714,None,0.0,United,PaulBEsteves,0,united death family make flight tomorrow phone rep quoted 440 per person fee almost cost ticket help
3399,negative,1.0,Late Flight,0.6949,United,theo,0,united airplane otherwise would call police flight take 12h30am
3400,negative,1.0,Can't Tell,0.3663,United,jkentakula,1,united perfectomobile huh sent 16 crash report feb alone 8 one day app consistently crash
3401,negative,1.0,Flight Attendant Complaints,0.6515,United,theo,0,united abused threatened forced travel lower cabine last seat yesterday flight houston sao paulo
3402,positive,0.6639,None,0.0,United,jong_pj,0,united youre welcome
3403,negative,1.0,Customer Service Issue,1.0,United,Ssanchik,0,united contacted yesterday told there nothing suggested email compensation cust service
3404,neutral,1.0,None,0.0,United,TheBIGCafeteria,0,united im ua 1k think iamtedking looking help
3405,neutral,1.0,None,0.0,United,JerseyRic,0,united re 0167560070877 fsqthg thanks
3406,negative,1.0,Customer Service Issue,0.6664,United,PAIGER33,2,united unfortunately doesnt help automated computer
3407,positive,1.0,None,0.0,United,stewartmramsay,0,united flt 1583 ewr sfo excellent service friendly flight attendant made 6am flight good start day
3408,positive,1.0,None,0.0,United,DeltaBravo33,0,united yes therealaviation instagram
3409,neutral,1.0,None,0.0,United,z1y2x3,0,united perfectomobile really shouldnt use word crashing sayin
3410,negative,1.0,Late Flight,1.0,United,nabia90,0,united airline delayed flight way chicago leaving chicago next time delta
3411,negative,1.0,Customer Service Issue,1.0,United,27_POWERS,0,united inquire nothing itpretend theyre interested responded dm response back
3412,neutral,1.0,None,0.0,United,JerseyRic,0,united need assistance change flight get ailing parent flight leaving tuesday need change asap sooner custserv
3413,negative,1.0,Can't Tell,1.0,United,sherrirosen,0,united must stop relationship youve become greedy heartless long term relationship
3414,negative,1.0,Customer Service Issue,1.0,United,YeahNoPriesty,0,united customer service lacking owe gopro camera also appreciate interrupted every time speak thanks
3415,neutral,0.6507,None,0.0,United,ellieINchicago,0,united need follow order dm
3416,negative,1.0,Can't Tell,0.6188,United,estellevw,1,united get refund would like book better airline
3417,negative,1.0,Customer Service Issue,1.0,United,Ssanchik,0,united call discus told united phone contact passenger absurd
3418,negative,1.0,Lost Luggage,0.3445,United,DMSHIPMAN915,0,united messaged requested called baggage team still newark please help let know next step
3419,neutral,0.6525,None,0.0,United,AndavoTravel,0,united airline changing mileageplus program march 1 httptco4oje523ptw
3420,neutral,1.0,None,0.0,United,morrisls,0,united one club lax terminal 7 across gate 71
3421,neutral,0.6667,None,0.0,United,NathanNmred4,0,united perfectomobile definately award employer year united13
3422,negative,0.6723,Customer Service Issue,0.3594,United,SaintAwesome504,0,united guess thats busiest route based trafficfuel cost regional jet decision still great 4 traveler
3423,negative,1.0,Late Flight,1.0,United,kylry,1,united flight delayed 40 minute ord plane didnt food fixed future dumb delay
3424,neutral,1.0,None,0.0,United,JerseyRic,0,united need change flight tuesday sooner attend ailing parent fl need help custserv
3425,negative,1.0,Customer Service Issue,1.0,United,PAIGER33,0,united need chat actual human asap
3426,neutral,1.0,None,0.0,United,slackmistress,0,united already emailed didnt know expedient contact please advise thanks
3427,negative,0.6628,Can't Tell,0.3466,United,slackmistress,0,united got email saying change mileageplus account confirmed didnt make change help
3428,neutral,1.0,None,0.0,United,elloecho,0,united yes landed
3429,positive,1.0,None,0.0,United,melanie_seibert,0,united joni great job flight 5653 lax thanks great flight
3430,positive,1.0,None,0.0,United,KP_Pearl,0,united far good stepped denver next stop portland
3431,negative,1.0,Late Flight,0.6768,United,hvonschroeter,0,united 310 disappointed service missing connection hour delay cramped seat least app good
3432,negative,1.0,Customer Service Issue,1.0,United,MissMcB76,0,united joke hang customer
3433,negative,1.0,Customer Service Issue,1.0,United,MissMcB76,0,united charged one way baggagefind others leaving pittsburgh equipment werent charged hung
3434,positive,1.0,None,0.0,United,SonyaSloanMD,0,united orthodoc oncall inflight glad service
3435,negative,1.0,Customer Service Issue,1.0,United,uncmnwellness,1,united publicly asked detail flt sent dm like asked yet 2 day hear unitedfail
3436,positive,0.6779,None,0.0,United,llbeefpatties,0,united flight attendant regains karma giving big sweaty dad cold water guy running amp carrying daughter last one onboard
3437,negative,0.6806,Can't Tell,0.3551,United,caraweikel,0,united really hoping get help 5th attempt get resolution lost count transfer help please mileageplus
3438,neutral,1.0,None,0.0,United,TheBIGCafeteria,0,united iamtedking httptcouczzp9yphk click lounge tab need flying supported sa airline
3439,negative,0.7036,Lost Luggage,0.7036,United,vina_love,0,united sent dm file reference number want know someone located bag even yet
3440,positive,1.0,None,0.0,United,eghoniem,0,united want shout thank pilot staff feb 13 flight newark boston 440pm super helpful
3441,negative,1.0,Late Flight,0.6557,United,craver,0,united help ua4935 cant take without missing galley cart one find pax seated last hour
3442,neutral,0.6571,None,0.0,United,kzone7,0,united grandma ellas 80th would love birthday greeting flight crew stewardess eastern airline
3443,neutral,1.0,None,0.0,United,PAFCAUAL,3,united hiring flight dispatcher chicago il network operation centerl httpstcolio6ocpteq
3444,negative,1.0,Can't Tell,0.6968,United,nickonken,0,united doesnt make sense ive 1k 5 year youre making harder keep loyal
3445,neutral,1.0,None,0.0,United,msteckling,0,united 747400s updated power outlet seatback tv yet flying ord tokyonarita 28th
3446,negative,0.6489,Can't Tell,0.3298,United,pdxmucci,0,united need get cousin pdx shes 2 day travel weve hire sitter til arrives thx
3447,positive,0.6669,None,0.0,United,BurgerFreshh,0,united keep flight cheap earlyon time good flew americanair cancelled flightled flight 4 time last month unitedgt
3448,negative,1.0,Cancelled Flight,0.3626,United,alex_nieves,0,united premier desk able rebook friend americanair problem pay checked bag
3449,negative,1.0,Lost Luggage,0.6619,United,hire_llc,0,united thought nothing happened
3450,negative,0.6479,Flight Booking Problems,0.6479,United,scout_mb,0,united im booked 130 return flight
3451,negative,1.0,Customer Service Issue,0.3636,United,scout_mb,0,united flt ord correct per dm flight ord cvg charged incorrectly
3452,negative,1.0,Customer Service Issue,1.0,United,chaduragt,0,united need change way customer service handled waiting supervisor contact 17 day give
3453,negative,1.0,Lost Luggage,1.0,United,PAIGER33,0,united need talk actual person missing luggage please advise make happen
3454,negative,1.0,Late Flight,1.0,United,mfaywu,0,united know see estimated time dep 10am dont understand wasnt better estimate 3 hr ago
3455,neutral,1.0,None,0.0,United,iamtedking,0,united news
3456,negative,1.0,Can't Tell,0.6364,United,Brennej,1,united trick making u look popular twitter worst airline wellplayed jokesonus
3457,negative,0.6856,Customer Service Issue,0.3458,United,jfmusial,0,united request refund charge twice first place
3458,negative,0.657,Customer Service Issue,0.657,United,alex_nieves,0,united ill calling soon going tomorrow like show app good option
3459,negative,0.6619,Customer Service Issue,0.6619,United,TheClayFox,0,united ive filled form twice email lost item code verify received
3460,positive,1.0,None,0.0,United,scout_mb,0,united message sent thank
3461,negative,1.0,Can't Tell,0.687,United,promitsanyal,0,united thats told refund doesnt really makeup inconvenience caused missed meeting
3462,neutral,1.0,None,0.0,United,Cecilia_stories,0,united year van gogh fan visit europe httptcoe1eofthgaj
3463,neutral,1.0,None,0.0,United,Cecilia_stories,0,united americanair year van gogh fan visit europe httptcoe1eofthgaj
3464,negative,1.0,Late Flight,0.6726,United,jfmusial,0,united please explain need pay bag fee twice equally 1200 delayed flight resulted bag rechecked overnight
3465,negative,1.0,Cancelled Flight,1.0,United,Brennej,0,united watched entire uncvsduke game tarmac cancelled flighting flight crew timed right 4hr flight
3466,negative,0.6481,Late Flight,0.3351,United,promitsanyal,0,united reflight booking problem would made reach time meeting also didnt wan na take chance booked etihad instead
3467,neutral,0.6554,None,0.0,United,Brennej,0,united eat airport 7 areyounew incompetent no800number feeltheheat
3468,negative,1.0,Cancelled Flight,0.6863,United,Brennej,0,united vacation day relevant ritz pr night 700 losing day idiot sleeping newark ramada priceless
3469,negative,1.0,Lost Luggage,1.0,United,Brennej,0,united time spent night trying sleep toddler bed airport ramada without luggage kidnapped furious
3470,negative,1.0,Customer Service Issue,1.0,United,MSLspeaks,0,united calling check future flight first agent hung sent pet travel line hell
3471,negative,1.0,Flight Booking Problems,0.6657,United,AnneGillaspie,0,united fyi siteapp still show plenty unavailable flight error almost 24 hr sellout flying americanair
3472,negative,1.0,Can't Tell,0.6381,United,ybenami,0,united sure youve saying long ive tweeting obsolete fleet promise free
3473,positive,0.6629999999999999,None,0.0,United,DMSHIPMAN915,0,united followed messaged thanks much help
3474,neutral,0.6859,None,0.0,United,Stacycole,0,united thats concerned
3475,negative,0.6614,Bad Flight,0.6614,United,jwcriner,0,united please consider letting flyer overhead bin item boarddeplane first first class make sense
3476,negative,1.0,Can't Tell,0.6426,United,somstanley,0,united never flying unitedairlines ever 285 checked bag 50lbs angrycustomer unitedairlinessuck
3477,positive,0.6915,None,0.0,United,taylreduarte,0,united thanks jt
3478,neutral,1.0,None,0.0,United,Stacycole,0,united trying locate passenger landed 2 hr ago heathrowairport ua938 assist flight still custom please help
3479,positive,1.0,None,0.0,United,TheVintageDJ,0,united thank la something special
3480,negative,1.0,Bad Flight,0.6842,United,WhaddupWorld,0,united flight turned around mechanical reason 13015 never fly united dont check plane properly
3481,negative,0.6553,Customer Service Issue,0.3401,United,WeekendInParis,0,united customary upgrade flight attendant uniform v passenger one 1b flt 1020 iah
3482,negative,1.0,Flight Booking Problems,0.3474,United,RoyHalimMusic,0,united really addressed somewhere website find completely irritating amp unable take flight
3483,negative,1.0,Late Flight,1.0,United,jordanslott,0,united ua1740 45 hr mechanical delay get 50 voucher tweet book next trip ua
3484,negative,0.6658,Flight Attendant Complaints,0.6658,United,llbeefpatties,0,united spends 20 minute beating lady bag fee random stranger come pay fee randomactsofcorporategreed
3485,neutral,1.0,None,0.0,United,stylistadvocate,0,united fee
3486,negative,1.0,Flight Booking Problems,0.6842,United,mlipschits,0,united hii still waiting refund ridiculousor u approve ticket u give refundplease advise wht going
3487,neutral,0.6969,None,0.0,United,jchatelain,0,united hi booked flight yesterday received email w confirmation number today got error active flight segment
3488,neutral,1.0,None,0.0,United,dealswelike,0,united update dot looking united fare london u last week
3489,negative,0.7084,Flight Booking Problems,0.3618,United,swampynomo,0,united thanks mr got rebooked already lost first class seat life
3490,negative,1.0,Flight Booking Problems,0.6377,United,cwehrung,0,united booked flight yesterday appeared account confirm email since hour disappeared err segment
3491,negative,1.0,Customer Service Issue,0.6933,United,souleyoga,0,united boarding cant agent phone taking care 1k traveller link reservation
3492,negative,1.0,Customer Service Issue,0.6933,United,DMSHIPMAN915,0,united ewr ppl told call 1800 2xday since monday still layover loc ref tho help appreciated
3493,negative,0.6545,Flight Attendant Complaints,0.3477,United,jeremydilts,0,united ruth helpful rerouting u punta cana dulles connection failed rep helpful
3494,positive,1.0,None,0.0,United,lalo_haros,0,united thank
3495,negative,0.6949,Flight Booking Problems,0.3681,United,souleyoga,0,united booked time called told confirmed linked even make change rez
3496,negative,1.0,Cancelled Flight,1.0,United,Enix23,0,united board 630a flight cancelled flight doesnt pilot miss meeting atlanta someone slept
3497,neutral,0.6737,None,0.0,United,SteefFleur,0,united dont milage number cant sent mail via dm youre following follow sent dm
3498,negative,1.0,Customer Service Issue,1.0,United,TravelShopVT,0,united response 3 week since complaint submitted 3 day since said would look
3499,negative,0.6381,Can't Tell,0.6381,United,AndrewEllestad,0,united thx come hell high water
3500,negative,1.0,Late Flight,0.7237,United,SchoeckSTIC,0,united worried cold weather snow would delay u morning pilot stillwaiting
3501,negative,1.0,Late Flight,0.7185,United,fatt_matt1,0,united rushed 6 degree weather get airport time bad pilot didnt stillwaiting
3502,neutral,0.698,None,0.0,United,katie_sul1,0,united refund
3503,neutral,0.6691,None,0.0,United,patrick_maness,0,united aisle please
3504,positive,1.0,None,0.0,United,Sebybrubru,0,united thanks quick reply fill form idnumber8569822 hopetogetanswersoon
3505,negative,1.0,Customer Service Issue,0.6332,United,DMSHIPMAN915,0,united handed slip paperampsaid call 1800 called 2xday trying get sent still layover airporthave ref tho
3506,neutral,0.3748,None,0.0,United,skilleahy,0,united staralliance good maybe make losing medallion probablynot
3507,positive,1.0,None,0.0,United,patrick_maness,0,united thats fine ill take
3508,neutral,0.6955,None,0.0,United,devonmonique,0,united live abroad flight booking problem flight come visit state
3509,neutral,1.0,None,0.0,United,katie_sul1,0,united
3510,negative,1.0,Customer Service Issue,0.6556,United,patrick_maness,0,united recap bounced flight lied hung supposed thinkdo
3511,positive,1.0,None,0.0,United,MajorBrad,0,united thank second flight already got bumped 1st love
3512,negative,1.0,Customer Service Issue,1.0,United,patrick_maness,0,united said would need get supervisor waiting supervisor hung
3513,negative,0.6192,Customer Service Issue,0.6192,United,patrick_maness,0,united called lady overseas call center said saw note explained situationagain
3514,negative,1.0,Customer Service Issue,0.351,United,patrick_maness,0,united could access seat map said would note upgrade itinerary call back late flightr
3515,negative,0.6629,Customer Service Issue,0.336,United,patrick_maness,0,united spoke someone feedback line last night said would get preferred choice seat today
3516,positive,1.0,None,0.0,United,ORIMALAYS,0,united good ill call tomorrow thanks
3517,neutral,1.0,None,0.0,United,patrick_maness,0,united next day
3518,neutral,0.66,None,0.0,United,TheClayFox,0,united filled form havent received sort email confirmation received normal
3519,negative,1.0,Lost Luggage,1.0,United,ellieINchicago,0,united loses luggage hotelstonight loses reservation 10 hour travel day want get startingbloc
3520,negative,1.0,Lost Luggage,0.6667,United,ellieINchicago,0,united oh flight fine lost luggage much look like ill least half day late flight conference santa monica
3521,negative,1.0,Bad Flight,0.6782,United,Sebybrubru,0,united 8h flight without working screen friend possible move another place unitedfailsworsttripofmylife
3522,neutral,0.662,None,0.0,United,AirUKPhoto,2,united unitedflyerhd unitedairline n26902 dreamliner leaf london heathrow b787fans httptcoai0yzwt8za
3523,negative,1.0,Bad Flight,0.6813,United,themkhiggy,0,united gj flight 1101 didnt wifi even though promised ground crew anotherdisappointment
3524,negative,1.0,Late Flight,1.0,United,themkhiggy,0,united gj agree 7 hour late flight arrival unacceptable hope pray bag
3525,negative,1.0,Can't Tell,0.6753,United,2cJustice4all,0,united unhappy uniteds service read ralph naders open letter uals ceo leave comment rt httptcoo0745apiau
3526,neutral,1.0,None,0.0,United,jeremymcmillan,0,united ok dm info
3527,negative,1.0,Customer Service Issue,1.0,United,jjpd5,0,united best seat paying customer get board first badcustomerservice
3528,negative,1.0,Can't Tell,0.6652,United,jjpd5,0,united happens time united pilot always exit row america treat customer better employee
3529,negative,1.0,Flight Attendant Complaints,0.6847,United,jjpd5,0,united yes got gate specifically asked seat discouraging walk past crew 37d
3530,neutral,0.6781,None,0.0,United,drooln,0,united koalax fresh food service right
3531,positive,0.6904,None,0.0,United,annemariee46,0,united omg thank u
3532,negative,1.0,Flight Booking Problems,0.6775,United,AnneGillaspie,0,united unavailable leg registered hour sold option offer 45min 400ticket travelocity 2of2
3533,negative,1.0,Flight Booking Problems,0.3573,United,AnneGillaspie,0,united error message said couldnt process request last step seat selection leg agent unaware 1 2
3534,negative,1.0,Late Flight,1.0,United,Hanagavadi,0,united 4348 soon going wait time gate empty msp airport flight 50 min still counting
3535,negative,1.0,Late Flight,0.6816,United,Hanagavadi,0,united horrible wait time 4348 get gate show total miss management value customer time respect thier sentiment
3536,negative,1.0,Customer Service Issue,0.6679999999999999,United,Hanagavadi,1,united disappointed service starting gate operator bos rude stopping carryon bag
3537,negative,1.0,Bad Flight,0.3481,United,GoldBuyingGirl,0,united service suck mexico houston finally realized snack in1st dont work cheap
3538,neutral,0.6355,None,0.0,United,TiffanyHaverly,0,united thank
3539,neutral,0.6862,None,0.0,United,MikeFromRBLX,0,united okay thank
3540,neutral,0.6842,None,0.0,United,drooln,0,united snack available fresh foodnot sure happened im sure grab bite sfo connection
3541,negative,0.6635,Customer Service Issue,0.3481,United,alafairburke,0,united guy flight 1230 follows threat sue couldnt carry 3 bag defend free
3542,neutral,0.7041,None,0.0,United,KarlSoule,0,united done requested
3543,negative,0.6508,Flight Attendant Complaints,0.3535,United,alafairburke,0,united pls post video belligerent jerk ranting sfo 1230 thats he going sue making check 3rd bag he hoot
3544,negative,1.0,Customer Service Issue,1.0,United,themkhiggy,0,united gj believe hand worst service ive ever experienced make comcast look amazing unitedairlines
3545,positive,1.0,None,0.0,United,froyomama,0,united please give special thanks aaron tampa office helping literally two hour he amazing mission accomplished
3546,negative,0.6701,Flight Booking Problems,0.3402,United,TiffanyHaverly,0,united cant tellpurchase website put u lufthansa flight first leg
3547,neutral,0.6667,None,0.0,United,TiffanyHaverly,0,united turkish airline rebooked u united flight second leg fra gt iad way check upgrade available
3548,neutral,0.6511,None,0.0,United,annemariee46,0,united hey left favorite blanket plane bring back home
3549,negative,0.6485,Customer Service Issue,0.3384,United,themkhiggy,0,united gj funny attendant recommended tweeting letting know subpar customer service runaround
3550,neutral,1.0,None,0.0,United,RoyHalimMusic,0,united followed amp dmd
3551,neutral,1.0,None,0.0,United,dougvansant,0,united want hotel room whiskey
3552,neutral,1.0,None,0.0,United,SupaZ22,0,united flightgotta make connector
3553,neutral,1.0,None,0.0,United,Dayrean,0,united ok noted detail dmed shortly
3554,negative,0.6818,Can't Tell,0.6818,United,CisWowon,0,united staralliance b gate far though
3555,negative,1.0,Late Flight,1.0,United,Atrain_8,1,united ua5029 ric ua507 ord amp ua423 den delayed nonweather issue way go youre batting 1000 hotel
3556,negative,1.0,Customer Service Issue,0.3696,United,patrick_maness,0,united would made hadnt already booked another flight cancelled flighted original reservation
3557,negative,1.0,Flight Booking Problems,0.6939,United,amack604,0,united staralliance book reward travel august everything blacked
3558,positive,0.6354,None,0.0,United,travelwithMKJ,0,united win
3559,negative,0.6267,Flight Booking Problems,0.6267,United,ImmaMarksThat,0,united trying change flight booked 6 hour ago online system charging 200 fee per passenger could please help
3560,negative,0.6598,Customer Service Issue,0.3608,United,spoditrice7,0,united submitted complaint need compensated long take
3561,neutral,0.6825,None,0.0,United,DominikZmuda,0,united info delay sfo tomorrow due low cloud
3562,negative,1.0,Bad Flight,0.6927,United,marylkrupa,1,united horrific flight experience guy made never want fly airplane every
3563,positive,1.0,None,0.0,United,ccappas123,0,united flight rsw tonight amp twin 3 year old pilot row stayed help get boy amp bag lifesaver
3564,negative,1.0,Late Flight,0.6749,United,grath57,0,united flying united oversorry captain still 20 minute preflight preparation make sat air
3565,neutral,0.7168,None,0.0,United,vasm21,0,united thanks
3566,positive,0.6246,None,0.0,United,laboyd99,0,united yes thx 1035 landed 920
3567,negative,0.6328,Flight Booking Problems,0.324,United,marccabi,0,united get clue 1k2mm miler response give
3568,negative,1.0,Bad Flight,0.7017,United,marccabi,0,united trying get email talking business people expect airline wifi
3569,neutral,0.3512,None,0.0,United,santiagopinzong,0,united finally arrive bogota good long flight
3570,negative,1.0,Lost Luggage,1.0,United,lu0ng,0,united tried already cancun one delivered
3571,negative,1.0,Customer Service Issue,0.6526,United,Atrain_8,2,united illegal breach contract touch customer feedback
3572,negative,1.0,Customer Service Issue,0.6848,United,Belendelcanto,0,united way treat customer lot issue worth headache went thru
3573,negative,1.0,Customer Service Issue,1.0,United,Belendelcanto,0,united yes ewr corrected fact beought u share room unexpactable
3574,neutral,1.0,None,0.0,United,Austin_Dillman,0,united want make day friend premier amp soon chance upgrade two 10 hr leg flight ecom plus
3575,negative,1.0,Can't Tell,0.3444,United,MEGHANson,0,united please review fix baggage procedure dulles happens every week sister travel airline
3576,negative,1.0,Customer Service Issue,1.0,United,themkhiggy,0,united nothing else gj customer service
3577,neutral,0.6538,None,0.0,United,140JustinC,0,united thats course lax
3578,neutral,1.0,None,0.0,United,140JustinC,0,united ok thanks counter located late flight open
3579,negative,1.0,Can't Tell,0.3512,United,themkhiggy,0,united oh im rebooked 7 hour original arrival time talk compensation
3580,negative,1.0,Can't Tell,0.6726,United,Belendelcanto,0,united coworker conflict hotel issue trying share posted facebook page erased
3581,negative,1.0,Lost Luggage,1.0,United,lu0ng,0,united lost parent luggage cancun said would delivered hotel 7pm almost 11pm
3582,negative,1.0,Bad Flight,0.6335,United,themkhiggy,0,united watched connecting flight den pull away gate pull gate slapintheface
3583,negative,1.0,Bad Flight,0.6806,United,critic,0,united christinebpc version 738 row 11 window go ahead check well wait
3584,negative,1.0,Flight Attendant Complaints,0.3459,United,themkhiggy,0,united im pretty sure ive got shin split sprinting iah watch plane pull away jet way
3585,negative,1.0,Late Flight,1.0,United,Belendelcanto,0,united well income flight dca take u ewr delayed made u miss connection fll yes hotel necessary
3586,negative,1.0,Cancelled Flight,1.0,United,_saranguyen,0,united please stop cancelled flightling flight trying get home take two exam tomorrow youve cancelled flightled 3 flight
3587,negative,1.0,Customer Service Issue,1.0,United,vina_love,0,united amp ive hung twice staff upset right
3588,neutral,1.0,None,0.0,United,Belendelcanto,0,united dcaewr flight 4372
3589,negative,1.0,Lost Luggage,0.3608,United,laboyd99,0,united 2 hour flight fll ewr 1242 waiting 1 hour plus bag sign yet give
3590,negative,1.0,Customer Service Issue,0.6292,United,simplyweber,1,united better airline continental 75 service fee 75 flight booking problem fee 25 talk human fee fu
3591,neutral,0.6889,None,0.0,United,140JustinC,0,united chance could look problem earlier
3592,negative,1.0,Lost Luggage,1.0,United,vina_love,0,united despicable spoke many diff people amp everyone telling something different claim need bag
3593,negative,1.0,Bad Flight,0.7124,United,jjpd5,0,united come crew traveling flight get better seat get stuck checking bag crew bag got flight
3594,negative,0.6899,Can't Tell,0.3798,United,caitieamanda,0,united funny thing happened arrived flight denver gate currently scheduled depart sydney lol
3595,positive,0.6559,None,0.0,United,caitieamanda,0,united forgot intl flight lax dont go intl terminal easiest recheck ever woo
3596,neutral,1.0,None,0.0,United,MarshBrentnall,0,united please tell united fly sydney australia pref asia pac u voucher redeem
3597,negative,1.0,Bad Flight,0.3365,United,Atrain_8,3,united cant claim weather hardworking crew pulling seat plane right thing know wont
3598,negative,1.0,Can't Tell,0.6458,United,Atrain_8,3,united youre missin point weather youre lying seat broken u claim weather get hotel classy
3599,negative,1.0,Late Flight,1.0,United,markymark928,1,united trying break world record delayed flight year
3600,neutral,1.0,None,0.0,United,STLStude,0,united flight dont appear applied mileageplus account help
3601,neutral,1.0,None,0.0,United,MichHardyTV,0,united vusaaustralia im aussie cowgirl lookin cowboy take fort worth estelle say ill find
3602,positive,1.0,None,0.0,United,MikeFromRBLX,0,united okay thank help
3603,negative,1.0,Late Flight,1.0,United,vassko,0,united captain said 820pm flight san francisco delayed due weather ua1416 departs failagain
3604,positive,1.0,None,0.0,United,froyomama,0,united thanks
3605,negative,1.0,Late Flight,1.0,United,themkhiggy,0,united bet southwestair doesnt turn thirty minute delay original flight 7 hour delayed arrive time
3606,positive,0.6667,None,0.0,United,travel_today,0,united best way reunite one true love shopping usa fashion capital newyork unitedvusa httptcorbn7stuij1
3607,neutral,0.657,None,0.0,United,doug_kurtz,0,united find way distinguish boarding premier member credit card holder group 2 big
3608,negative,0.6436,Flight Booking Problems,0.3445,United,theLOdown94,0,united final destination booked united quantas united yet contacted auckland unaware case id number
3609,neutral,0.6529,None,0.0,United,140JustinC,0,united air dmd
3610,negative,1.0,Can't Tell,0.6702,United,jbeddigs,1,united worst flying experience ever past three day airline need get together lost customer
3611,negative,0.6838,Lost Luggage,0.3419,United,vina_love,0,united yes
3612,negative,1.0,Customer Service Issue,1.0,United,ravlitcofsky,0,united customerservice fail long time flyer switching airline frustrated
3613,positive,1.0,None,0.0,United,elisanader,0,united okay thanks help jt appreciate time
3614,negative,0.664,Can't Tell,0.664,United,SergioESalas,0,united screwed professor maybe tell everyone skiplagged aviation airport airline innovation startup tech
3615,negative,0.6633,Cancelled Flight,0.3367,United,ousoonerfanatic,0,united staralliance right thing reinstate ticket voided unitedfail
3616,negative,1.0,Customer Service Issue,1.0,United,TheMouthLAKings,0,united negative done wasting time amateur customer service thanks least offering
3617,positive,1.0,None,0.0,United,gasbabe,0,united staralliance week ago awesomebright vibrant habitrails
3618,positive,1.0,None,0.0,United,pnjarich,0,united worry everyone boarded cushion brought took made
3619,neutral,0.6383,None,0.0,United,ghidinelli,0,united sprinted c concourse e made coughed lung process clt tnx
3620,neutral,1.0,None,0.0,United,Sophia_Goulet,0,united hey think someone could meet book arrive loganairports 1030 yes please amypoehler oscar took
3621,neutral,0.6405,None,0.0,United,mwbotelho,0,united hopefully give feedback bafore flight
3622,positive,1.0,None,0.0,United,agolod13,0,united good flight thank
3623,negative,1.0,Customer Service Issue,1.0,United,froyomama,0,united dm hold customer service long time 53 min getting runaround thanks
3624,negative,0.6304,Customer Service Issue,0.6304,United,sjking2000,0,united im asking simplify communication thx
3625,positive,1.0,None,0.0,United,john_escreet,0,united yes lhrt2 lounge fantastic u one could remotely similar
3626,negative,1.0,Lost Luggage,1.0,United,skyjumper77,0,united omg bag yyzua70435 enough shenanigan already getting real old real quick
3627,neutral,1.0,None,0.0,United,lorenzosimpson,0,united see 72 hour thanks
3628,neutral,0.672,None,0.0,United,HelacoHLC,0,united invite fallow helacohlc learn activitiesprevention program health condomrito familywe r 501c3thanks
3629,neutral,0.6990000000000001,None,0.0,United,georgetietjen,0,united staralliance nice lhr congrats im sticking aaba americanair britishairways
3630,negative,0.6634,Flight Booking Problems,0.3366,United,lorenzosimpson,0,united long take mile repurchased expired show recieved email request
3631,negative,0.6538,Late Flight,0.3336,United,patrick_maness,0,united please stall flight 1535 ord get sna tonight
3632,positive,1.0,None,0.0,United,TheVeganRD,0,united thanks
3633,negative,0.7118,longlines,0.3667,United,KevinLarke,0,united get gate ua4727 turrible
3634,negative,1.0,Lost Luggage,0.6485,United,theLOdown94,0,united worst airline lost luggage delayed flight unaccomidating
3635,neutral,0.6416,None,0.0,United,GaryMartinNYC,0,united flight 280
3636,neutral,0.6452,None,0.0,United,DontenPhoto,0,united flight 1640 n33289 arrives flytpa following flight iah httptcorvcda2nnme
3637,positive,1.0,None,0.0,United,bryce_carey,0,united officially favorite airline created magic day friendlyskies careyon
3638,positive,1.0,None,0.0,United,RobandMeg,0,united wonderful flight attendant named leah u lga den den anchorage
3639,positive,1.0,None,0.0,United,confox77,0,united protected flight gate agent kerry la also excellent job getting destination today thanks
3640,neutral,0.6827,None,0.0,United,misslindahong,0,united yes dm
3641,positive,0.6364,None,0.0,United,DexterBerkeley,0,united staff deck cabin ua768 sfo gt bos exceptional today please tell well done
3642,negative,1.0,Customer Service Issue,1.0,United,jamieduchess,1,united mean real live person somewhere go speak newark post security
3643,neutral,1.0,None,0.0,United,JRamosGonzalez,0,united hi bought flight united ebokeers paris miami chance check everything ok
3644,neutral,0.6497,None,0.0,United,OldChickSprints,0,united worry think control email keeping informed
3645,negative,0.6737,Can't Tell,0.6737,United,questions_faith,0,united talked themon standby tomorrow doesnt look good may stay till friday amp thats guaranteed
3646,neutral,1.0,None,0.0,United,MichaelRConroy,0,united jt ord phl flight 915 pm cdt delayed dm im kinda hoping stranded ord either
3647,neutral,1.0,None,0.0,United,stylistadvocate,0,united happened flight status map cool
3648,negative,0.6629999999999999,Bad Flight,0.6629999999999999,United,Lindsey_Brunell,0,united plz dont advertise wifi gon na work thanks worstflightever
3649,neutral,1.0,None,0.0,United,Miki_Palich,0,united hi guy submitted request tickethotel reimbursement delayedover night stay coming back dominican help
3650,negative,1.0,Customer Service Issue,0.3461,United,frannie_ryan,0,united apologize president employee blamed heard repeated 20 time
